text,reason,label
9.99 now. bye not woth it with so many free alternatives. try and do the right,,
thing and they gouge you for it,want the app for free,0
"bad, does not open",unable to use app,0
"there is a setting to cut ur audio which is totally useless, i had that setting by",,
default as i did not know and i got kicked out of my zoom call bc my audio,,
did not work. my zoom call schedule is not working and i do not have all my,,
option on my mobile for: microphone and audio.,unable to hear sound,0
my hulu app still will not open on my phone for 2wks.I have called several,,
times & they still have not fixed the app.this is the first time in 3yrs I have,,
had problems with hulu.one of the agents from hulu told me i could not,,
stream through our chromecast sticks and i would have to use roku instead,,
but it does not stream correctly on any streaming products. please help!,,
"2wks & still hulu still will not work or open, I will have to cancel my",,
"subscription if you will not help me,it was my favorite app! hulu help!",unable to use hulu on android,0
philips i have 55pus7809 tv and i could not install the application i could not,,
"watch it as a member i could not be so hard, i wonder what is the device",,
"that is not supported in 2022, there is netflix there is no disneyplus",unable to use on android or fire stick,0
error 83 keeps appearing several times,getting enter code 83,0
I have un-installed and re-installed the app.,reinstalling did not work,0
nice app for classes ..,good app for conducting online classes,0
cancelled went too woke. wanted to watch fictional stuff not political,,
correctness nonsense. shame on you disney enjoy the exodus of,,
cancellations,want to use disney xd,0
it is facilitating interview process in many companies. also it is widely used,,
by many social media creaters to create content together online. our,,
children have been studying online using zoom over the period of covid-19.,good app for conducting online meeting,0
will not work. continually gives error codes amd crashes. what is the,,
purpose of having something that will not work and has not for a while.,app is crashing,0
"help please, i was watching very nice at the beginning, then i never forget",,
the account i can not enter the application at first i have installed the logo,,
and delete it from the app itself.,unable to login,1
very bad terrible i would say,customer service is bad,0
but i enjoy it i like using it overnight,use it with friends and family,0
loading to start entertainment.,unable to play videos,0
why can not i install an update? so fraustrating.,want to update zoom app,0
"unfortunately zoom is experiencing a lot of connection failure, stability is",,
"dropping a lot, today in the period from 18:00 to 20:00, the connection",,
dropped 14 times.,facing network connection issues,1
no ability to change the format of subtitles. are displayed in black so,,
completely not visible,unable to view subtitles clearly,1
it should say hulu with pulsating title and then proceed to the menu to select,,
what to watch.,good for watching movies and serials,0
good.. fluent in communicating,good for communication,1
i bought a pretty nice monthly,service is good for the price,0
i need these apps i really like me very much. i want to learn the quran,good app for conducting online classes and meetings,0
every month has to update.,different prices come every month,0
very good movie app,app is good for movies,1
stopped working and show network problems even tho other apps are,,
working perfectly,facing network connection issues,1
they do not load the other episodes of all the series that are on this,,
platform.,unable to load the episodes list,1
"as for support, it is just as terrible, the application is not very good and",,
because i want to cancel my subscription it does not give me cancellation,,
"options just to change subscription from monthly to annual, i would not",,
download it again.,want to cancel subscription,1
nice and i can watch all the movies i want,app is good for movies,0
"i like it, i can enjoy watching movies when i travel, in the countryside,",,
anywhere.,app is good for movies,0
but at least it has better content than disney+ still way behind netflix,disney is better than netflix,0
a consistently buggy and hard to work with app. needs to be rebuilt from the,,
ground up.,app has many errors,1
i can watch the meetings online and it is good for me,good app for conducting online meetings and connecting with people,0
I have been trying to update the app and it is not working. and i can not join,,
meetings because they keep asking for an updated version. although the,,
"app has been good, i find this very upsetting.",keeps asking for updating the app when joining a meeting,1
i think it should provide preview content but not block user with a screen,,
"""you have not subscribed yet.""",subscription plans are expensive,0
"i use it on an older device, and there are many problems with the app",,
"regarding not only performance but mostly downloads (they fail, do not",,
